,transaction_date,Category,Amount Paid,Payment Mode,Description,Cashback
27,2023-08-29,Entertainment,250,Cash,Deep late note long campaign television.,0.0
28,2023-08-02,Travel,400,Debit card,Its young west than show tend.,0.0
29,2023-08-22,Transportation,1500,Credit card,Term what together name.,0.0
30,2023-08-14,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
31,2023-08-18,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
32,2023-08-10,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
33,2023-08-27,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
34,2023-08-27,Disney Hotstar,499,Debit card,Some radio pretty.,0.0
35,2023-08-17,School fees,5000,Cash,halfyearly exam fees paid,0.0
36,2023-08-24,Disney Hotstar,499,Credit card,Seat commercial move student future open.,0.0
37,2023-08-21,Travel,400,Debit card,Character despite yeah.,0.0
38,2023-08-06,Travel,400,Online,Surface pattern investment price.,30.08
39,2023-08-19,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
40,2023-08-07,Investment,3000,Cash,Maintain then might sell already memory.,0.0
41,2023-08-19,YouTube,300,Credit card,Experience deal store organization main.,0.0
42,2023-08-19,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
43,2023-08-03,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
44,2023-08-01,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
45,2023-08-26,Disney Hotstar,499,Cash,Artist maintain left evidence.,0.0
46,2023-08-06,Transportation,1500,Online,Fear enough report policy blue.,0.0
47,2023-08-16,Groceries,500,Cash,1 week groceries are buyed,0.0
48,2023-08-23,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
49,2023-08-11,House Rent,6000,Online,Monthly payment is paid,0.0
50,2023-08-18,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
51,2023-08-10,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
52,2023-08-30,Health,2000,Online,"Costs for medical care,health insurance and wellness services",136.18
53,2023-08-10,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
54,2023-08-15,YouTube,300,Cash,Money go design fight.,0.0
55,2023-08-10,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
56,2023-08-30,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,103.83
57,2023-08-06,House Rent,6000,Credit card,Monthly payment is paid,0.0
58,2023-08-24,YouTube,300,Cash,Arrive special against specific religious.,0.0
59,2023-08-14,House Rent,6000,Debit card,Monthly payment is paid,0.0
60,2023-08-08,wifi,600,Cash,Costs associated with internet connectivity,0.0
61,2023-08-02,School fees,5000,Debit card,halfyearly exam fees paid,0.0
62,2023-08-15,Audible,299,Online,Shoulder serve along dinner point.,41.43
63,2023-08-14,Entertainment,250,Cash,Authority turn administration any these.,0.0
64,2023-08-12,Entertainment,250,Debit card,Happen computer available idea Congress.,0.0
65,2023-08-30,School fees,5000,Online,halfyearly exam fees paid,530.51
66,2023-08-22,wifi,600,Credit card,Costs associated with internet connectivity,0.0
67,2023-08-23,Disney Hotstar,499,Online,City seek third whether.,51.35
68,2023-08-24,Transportation,1500,Credit card,Smile while response.,0.0
69,2023-08-15,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
70,2023-08-29,Travel,400,Cash,Ahead today development laugh organization thus series.,0.0
71,2023-08-03,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
72,2023-08-07,School fees,5000,Credit card,halfyearly exam fees paid,0.0
73,2023-08-15,Transportation,1500,Cash,Politics benefit people these guy beautiful.,0.0
74,2023-08-23,Transportation,1500,Credit card,One candidate including national break might.,0.0
75,2023-08-03,YouTube,300,Debit card,Memory worker unit add money.,0.0
76,2023-08-23,Food,200,Credit card,His law better.,0.0
77,2023-08-01,Food,200,Online,Rest hospital argue.,0.0
78,2023-08-21,YouTube,300,Debit card,Protect job pull black there American.,0.0
79,2023-08-24,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,156.31
80,2023-08-28,Transportation,1500,Online,Most result you night star.,194.26
81,2023-08-25,School fees,5000,Credit card,halfyearly exam fees paid,0.0
82,2023-08-08,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
83,2023-08-21,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
84,2023-08-26,Groceries,500,Cash,1 week groceries are buyed,0.0
85,2023-08-23,YouTube,300,Online,Direction necessary situation.,15.2
86,2023-08-11,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
87,2023-08-01,Entertainment,250,Online,Natural different such.,0.0
88,2023-08-17,YouTube,300,Credit card,Evidence in three later remain risk.,0.0
89,2023-08-03,Disney Hotstar,499,Online,Party professor military surface test.,52.42
90,2023-08-03,wifi,600,Cash,Costs associated with internet connectivity,0.0
91,2023-08-06,Investment,3000,Debit card,Toward check let tax.,0.0
92,2023-08-24,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
93,2023-08-04,wifi,600,Credit card,Costs associated with internet connectivity,0.0
94,2023-08-03,School fees,5000,Cash,halfyearly exam fees paid,0.0
95,2023-08-04,Entertainment,250,Debit card,By data personal machine design.,0.0
96,2023-08-18,Groceries,500,Cash,1 week groceries are buyed,0.0
97,2023-08-05,wifi,600,Online,Costs associated with internet connectivity,0.0
98,2023-08-17,Entertainment,250,Credit card,Series explain detail tonight this.,0.0
99,2023-08-27,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
100,2023-08-12,School fees,5000,Cash,halfyearly exam fees paid,0.0
0,2023-09-08,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
1,2023-09-26,House Rent,6000,Credit card,Monthly payment is paid,0.0
2,2023-09-04,House Rent,6000,Cash,Monthly payment is paid,0.0
3,2023-09-25,School fees,5000,Debit card,halfyearly exam fees paid,0.0
4,2023-09-03,Entertainment,250,Debit card,Property record truth.,0.0
5,2023-09-12,Groceries,500,Online,1 week groceries are buyed,50.7
6,2023-09-19,Water bill,100,Online,Charges for consumption of water services in a household,19.98
7,2023-09-14,wifi,600,Cash,Costs associated with internet connectivity,0.0
8,2023-09-03,Audible,299,Credit card,List avoid top any.,0.0
9,2023-09-16,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
10,2023-09-18,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
11,2023-09-17,Transportation,1500,Debit card,Answer stop air.,0.0
12,2023-09-11,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
13,2023-09-26,Travel,400,Cash,Line which other it later.,0.0
14,2023-09-25,Shopping,1000,Debit card,Expenditures on clothing and personal items for everyday use,0.0
15,2023-09-13,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
16,2023-09-11,Travel,400,Online,Its international across economic.,0.0
17,2023-09-26,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
18,2023-09-20,YouTube,300,Credit card,Much use quality.,0.0
19,2023-09-17,Travel,400,Online,Federal as theory.,0.0
20,2023-09-08,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
21,2023-09-29,Entertainment,250,Credit card,Market people so whom writer.,0.0
22,2023-09-12,Disney Hotstar,499,Debit card,Certainly begin about ahead short.,0.0
23,2023-09-16,Transportation,1500,Credit card,Different not action above article.,0.0
24,2023-09-02,Audible,299,Cash,Product purpose science learn month.,0.0
25,2023-09-04,Food,200,Cash,Senior away at significant order.,0.0
26,2023-09-05,House Rent,6000,Cash,Monthly payment is paid,0.0
27,2023-09-04,Travel,400,Online,Get me leave level various.,0.0
28,2023-09-09,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
29,2023-09-04,wifi,600,Online,Costs associated with internet connectivity,111.69
30,2023-09-12,Travel,400,Cash,Sense recently organization.,0.0
31,2023-09-29,wifi,600,Cash,Costs associated with internet connectivity,0.0
32,2023-09-24,Travel,400,Credit card,Camera outside sign sea decide group.,0.0
33,2023-09-29,YouTube,300,Credit card,Himself a building people.,0.0
34,2023-09-19,Spotify,350,Online,Subscription fees for music and podcasts from the service,0.0
35,2023-09-21,School fees,5000,Debit card,halfyearly exam fees paid,0.0
36,2023-09-29,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
37,2023-09-16,wifi,600,Credit card,Costs associated with internet connectivity,0.0
38,2023-09-16,wifi,600,Cash,Costs associated with internet connectivity,0.0
39,2023-09-06,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
40,2023-09-27,Audible,299,Debit card,Thank cold visit skin could.,0.0
41,2023-09-17,Investment,3000,Credit card,A city after term pretty.,0.0
42,2023-09-09,House Rent,6000,Online,Monthly payment is paid,1053.4
43,2023-09-08,Transportation,1500,Debit card,Miss moment capital support game.,0.0
44,2023-09-26,School fees,5000,Debit card,halfyearly exam fees paid,0.0
45,2023-09-14,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
46,2023-09-04,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,120.75
47,2023-09-25,School fees,5000,Cash,halfyearly exam fees paid,0.0
48,2023-09-08,School fees,5000,Debit card,halfyearly exam fees paid,0.0
49,2023-09-27,Investment,3000,Credit card,Big class also marriage take short.,0.0
50,2023-09-19,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
51,2023-09-05,School fees,5000,Debit card,halfyearly exam fees paid,0.0
52,2023-09-01,Disney Hotstar,499,Online,Act write try.,0.0
53,2023-09-25,House Rent,6000,Debit card,Monthly payment is paid,0.0
54,2023-09-10,YouTube,300,Cash,Education customer mouth ever green could.,0.0
55,2023-09-12,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
56,2023-09-24,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
57,2023-09-18,Audible,299,Debit card,Impact reality section keep have general.,0.0
58,2023-09-26,Entertainment,250,Debit card,Bill amount seat election.,0.0
59,2023-09-08,Travel,400,Online,Reality artist way.,51.09
60,2023-09-17,Groceries,500,Debit card,1 week groceries are buyed,0.0
61,2023-09-17,wifi,600,Online,Costs associated with internet connectivity,117.85
62,2023-09-21,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
63,2023-09-14,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
64,2023-09-15,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
65,2023-09-09,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,0.0
66,2023-09-28,wifi,600,Debit card,Costs associated with internet connectivity,0.0
67,2023-09-24,Transportation,1500,Credit card,Popular thus within evidence.,0.0
68,2023-09-08,Groceries,500,Credit card,1 week groceries are buyed,0.0
69,2023-09-14,Disney Hotstar,499,Credit card,During scientist ever alone pressure total.,0.0
70,2023-09-28,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
71,2023-09-23,Disney Hotstar,499,Debit card,Picture something attorney close room.,0.0
72,2023-09-21,Water bill,100,Online,Charges for consumption of water services in a household,9.89
73,2023-09-01,Investment,3000,Debit card,Democratic factor yard though control view.,0.0
74,2023-09-09,Groceries,500,Debit card,1 week groceries are buyed,0.0
75,2023-09-11,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
76,2023-09-20,Audible,299,Debit card,Quickly cultural leg great.,0.0
77,2023-09-06,Gas,1000,Online,Expenses for fuel used in heating and cooking,180.07
78,2023-09-27,School fees,5000,Cash,halfyearly exam fees paid,0.0
79,2023-09-04,House Rent,6000,Debit card,Monthly payment is paid,0.0
80,2023-09-19,Groceries,500,Online,1 week groceries are buyed,49.51
81,2023-09-14,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
82,2023-09-04,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
83,2023-09-28,Groceries,500,Credit card,1 week groceries are buyed,0.0
84,2023-09-27,wifi,600,Debit card,Costs associated with internet connectivity,0.0
85,2023-09-01,Food,200,Cash,General lead yourself certain.,0.0
86,2023-09-28,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
87,2023-09-02,School fees,5000,Cash,halfyearly exam fees paid,0.0
88,2023-09-20,Groceries,500,Online,1 week groceries are buyed,0.0
89,2023-09-10,wifi,600,Credit card,Costs associated with internet connectivity,0.0
90,2023-09-02,Disney Hotstar,499,Online,Check big wide have why last.,70.99
91,2023-09-27,Audible,299,Credit card,Television citizen reflect put type agent.,0.0
92,2023-09-19,House Rent,6000,Cash,Monthly payment is paid,0.0
93,2023-09-02,Disney Hotstar,499,Credit card,Only fear century report.,0.0
94,2023-09-24,Disney Hotstar,499,Online,Film pressure maybe next page.,0.0
95,2023-09-02,Audible,299,Online,Send government on.,0.0
96,2023-09-25,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
97,2023-09-02,Disney Hotstar,499,Debit card,Everything support western better contain.,0.0
98,2023-09-10,Disney Hotstar,499,Debit card,Final ahead help event.,0.0
99,2023-09-24,Entertainment,250,Credit card,Yourself quickly machine want performance to.,0.0
100,2023-09-06,School fees,5000,Online,halfyearly exam fees paid,478.72
0,2023-10-26,Disney Hotstar,499,Online,Tree culture trial effort cold people.,68.52
1,2023-10-29,Health,2000,Online,"Costs for medical care,health insurance and wellness services",161.01
2,2023-10-22,Food,200,Online,Prove head wind life expert theory.,0.0
3,2023-10-30,Groceries,500,Cash,1 week groceries are buyed,0.0
4,2023-10-26,Audible,299,Online,Thought structure especially now direction.,0.0
5,2023-10-11,Investment,3000,Credit card,World spend just.,0.0
6,2023-10-10,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
7,2023-10-19,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
8,2023-10-27,Groceries,500,Debit card,1 week groceries are buyed,0.0
9,2023-10-09,Food,200,Cash,Explain method north beyond remember.,0.0
10,2023-10-25,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,120.22
11,2023-10-01,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
12,2023-10-13,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
13,2023-10-24,Food,200,Credit card,Since tough ahead evening out them.,0.0
14,2023-10-29,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
15,2023-10-04,Health,2000,Online,"Costs for medical care,health insurance and wellness services",319.69
16,2023-10-16,Travel,400,Online,Source own operation authority each.,52.06
17,2023-10-08,Groceries,500,Online,1 week groceries are buyed,82.97
18,2023-10-19,Entertainment,250,Debit card,Owner simply top certain development tend.,0.0
19,2023-10-08,Travel,400,Cash,Federal television enter soldier compare open.,0.0
20,2023-10-25,Travel,400,Cash,Box concern report.,0.0
21,2023-10-25,Disney Hotstar,499,Debit card,See stop fill environment tell.,0.0
22,2023-10-05,Audible,299,Online,Process bag people also.,0.0
23,2023-10-25,Investment,3000,Cash,Billion me cause identify.,0.0
24,2023-10-27,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
25,2023-10-29,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
26,2023-10-17,School fees,5000,Credit card,halfyearly exam fees paid,0.0
27,2023-10-13,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
28,2023-10-06,Disney Hotstar,499,Cash,Visit sport draw many crime.,0.0
29,2023-10-05,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
30,2023-10-23,Entertainment,250,Credit card,Everybody in tax.,0.0
31,2023-10-07,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
32,2023-10-07,YouTube,300,Credit card,Strong nice popular within prepare writer.,0.0
33,2023-10-20,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
34,2023-10-06,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
35,2023-10-10,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
36,2023-10-11,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
37,2023-10-14,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
38,2023-10-29,Audible,299,Debit card,Head mother story culture.,0.0
39,2023-10-25,Investment,3000,Cash,Again answer third power.,0.0
40,2023-10-03,Travel,400,Online,Think benefit no.,34.2
41,2023-10-23,Travel,400,Debit card,Point material figure modern five.,0.0
42,2023-10-20,Gas,1000,Online,Expenses for fuel used in heating and cooking,0.0
43,2023-10-02,wifi,600,Online,Costs associated with internet connectivity,54.7
44,2023-10-04,Travel,400,Online,That would and maintain a.,0.0
45,2023-10-28,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
46,2023-10-19,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
47,2023-10-23,Food,200,Online,History type consider try whole.,0.0
48,2023-10-20,Travel,400,Credit card,Senior option director Mrs service.,0.0
49,2023-10-03,Food,200,Cash,Nice class chair civil dog.,0.0
50,2023-10-21,Transportation,1500,Online,Quality American few treatment.,0.0
51,2023-10-08,School fees,5000,Credit card,halfyearly exam fees paid,0.0
52,2023-10-02,Water bill,100,Debit card,Charges for consumption of water services in a household,0.0
53,2023-10-19,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
54,2023-10-26,wifi,600,Debit card,Costs associated with internet connectivity,0.0
55,2023-10-18,House Rent,6000,Debit card,Monthly payment is paid,0.0
56,2023-10-18,Investment,3000,Online,High service part fight cultural million professor.,291.02
57,2023-10-19,School fees,5000,Credit card,halfyearly exam fees paid,0.0
58,2023-10-02,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,48.29
59,2023-10-29,Travel,400,Cash,Without increase talk.,0.0
60,2023-10-14,Travel,400,Cash,Drive rate national particularly movie expert.,0.0
61,2023-10-27,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
62,2023-10-15,Entertainment,250,Debit card,Sense suddenly Mrs.,0.0
63,2023-10-29,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
64,2023-10-23,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
65,2023-10-05,Travel,400,Credit card,Sea young dinner.,0.0
66,2023-10-08,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
67,2023-10-13,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
68,2023-10-25,Spotify,350,Online,Subscription fees for music and podcasts from the service,35.22
69,2023-10-24,wifi,600,Cash,Costs associated with internet connectivity,0.0
70,2023-10-30,Health,2000,Credit card,"Costs for medical care,health insurance and wellness services",0.0
71,2023-10-13,Disney Hotstar,499,Credit card,Miss interview explain statement.,0.0
72,2023-10-02,Entertainment,250,Cash,Year drug mouth director.,0.0
73,2023-10-11,wifi,600,Credit card,Costs associated with internet connectivity,0.0
74,2023-10-17,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
75,2023-10-26,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
76,2023-10-25,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
77,2023-10-01,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
78,2023-10-10,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
79,2023-10-02,Groceries,500,Cash,1 week groceries are buyed,0.0
80,2023-10-25,School fees,5000,Cash,halfyearly exam fees paid,0.0
81,2023-10-15,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
82,2023-10-02,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
83,2023-10-02,Water bill,100,Online,Charges for consumption of water services in a household,0.0
84,2023-10-18,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
85,2023-10-11,Disney Hotstar,499,Online,Manage question church little.,64.91
86,2023-10-29,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
87,2023-10-03,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
88,2023-10-30,Health,2000,Cash,"Costs for medical care,health insurance and wellness services",0.0
89,2023-10-08,House Rent,6000,Credit card,Monthly payment is paid,0.0
90,2023-10-02,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
91,2023-10-13,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
92,2023-10-22,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
93,2023-10-29,Shopping,1000,Credit card,Expenditures on clothing and personal items for everyday use,0.0
94,2023-10-17,Groceries,500,Cash,1 week groceries are buyed,0.0
95,2023-10-07,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
96,2023-10-23,Audible,299,Online,Once agree they write.,0.0
97,2023-10-02,wifi,600,Debit card,Costs associated with internet connectivity,0.0
98,2023-10-18,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
99,2023-10-24,Spotify,350,Credit card,Subscription fees for music and podcasts from the service,0.0
100,2023-10-18,Investment,3000,Online,Help money design reach similar agreement.,555.81
0,2023-11-23,Spotify,350,Online,Subscription fees for music and podcasts from the service,0.0
1,2023-11-26,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
2,2023-11-11,YouTube,300,Cash,Friend born hold.,0.0
3,2023-11-01,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
4,2023-11-02,wifi,600,Credit card,Costs associated with internet connectivity,0.0
5,2023-11-18,Food,200,Online,Evening field office practice too.,28.33
6,2023-11-17,Disney Hotstar,499,Credit card,Since wife decision change everybody continue.,0.0
7,2023-11-15,YouTube,300,Online,Stage effort work action bar.,21.36
8,2023-11-15,School fees,5000,Credit card,halfyearly exam fees paid,0.0
9,2023-11-17,YouTube,300,Online,Speech sell off carry finish modern.,28.31
10,2023-11-11,Groceries,500,Credit card,1 week groceries are buyed,0.0
11,2023-11-27,YouTube,300,Debit card,Economic agreement just.,0.0
12,2023-11-08,Transportation,1500,Cash,Teacher pull ready.,0.0
13,2023-11-24,Food,200,Credit card,Could improve when remember create.,0.0
14,2023-11-12,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
15,2023-11-20,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
16,2023-11-24,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,168.47
17,2023-11-24,Electricity bill,700,Debit card,Monthly bill for electrical energy usage in home,0.0
18,2023-11-24,Food,200,Cash,Try both role child wait painting.,0.0
19,2023-11-05,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
20,2023-11-02,School fees,5000,Credit card,halfyearly exam fees paid,0.0
21,2023-11-20,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
22,2023-11-03,YouTube,300,Credit card,Issue line plant offer accept try.,0.0
23,2023-11-12,Food,200,Online,Stuff western miss direction.,0.0
24,2023-11-27,Investment,3000,Credit card,Shoulder shake since method senior section.,0.0
25,2023-11-04,Groceries,500,Debit card,1 week groceries are buyed,0.0
26,2023-11-15,House Rent,6000,Cash,Monthly payment is paid,0.0
27,2023-11-09,School fees,5000,Cash,halfyearly exam fees paid,0.0
28,2023-11-10,School fees,5000,Online,halfyearly exam fees paid,0.0
29,2023-11-14,wifi,600,Cash,Costs associated with internet connectivity,0.0
30,2023-11-03,Disney Hotstar,499,Debit card,Media safe research.,0.0
31,2023-11-13,Investment,3000,Cash,Could worry hotel.,0.0
32,2023-11-25,wifi,600,Credit card,Costs associated with internet connectivity,0.0
33,2023-11-01,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
34,2023-11-14,wifi,600,Online,Costs associated with internet connectivity,0.0
35,2023-11-03,Food,200,Online,Building imagine Republican quickly general.,26.52
36,2023-11-13,Netflix,300,Cash,Subscription fees for movies and TV shows on the platform,0.0
37,2023-11-04,Spotify,350,Online,Subscription fees for music and podcasts from the service,47.13
38,2023-11-14,Audible,299,Credit card,Raise around wonder real condition.,0.0
39,2023-11-18,Groceries,500,Credit card,1 week groceries are buyed,0.0
40,2023-11-19,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
41,2023-11-01,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
42,2023-11-02,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
43,2023-11-06,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
44,2023-11-05,School fees,5000,Debit card,halfyearly exam fees paid,0.0
45,2023-11-16,Electricity bill,700,Cash,Monthly bill for electrical energy usage in home,0.0
46,2023-11-26,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
47,2023-11-14,Health,2000,Online,"Costs for medical care,health insurance and wellness services",0.0
48,2023-11-08,Transportation,1500,Online,Different reach home maintain generation.,102.13
49,2023-11-22,Water bill,100,Credit card,Charges for consumption of water services in a household,0.0
50,2023-11-08,Investment,3000,Credit card,Account about argue society me computer.,0.0
51,2023-11-01,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
52,2023-11-06,Shopping,1000,Online,Expenditures on clothing and personal items for everyday use,0.0
53,2023-11-27,House Rent,6000,Debit card,Monthly payment is paid,0.0
54,2023-11-10,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
55,2023-11-03,Gas,1000,Cash,Expenses for fuel used in heating and cooking,0.0
56,2023-11-17,Netflix,300,Debit card,Subscription fees for movies and TV shows on the platform,0.0
57,2023-11-16,YouTube,300,Credit card,Hot hope again base fast sell.,0.0
58,2023-11-03,Groceries,500,Debit card,1 week groceries are buyed,0.0
59,2023-11-27,Health,2000,Debit card,"Costs for medical care,health insurance and wellness services",0.0
60,2023-11-06,Investment,3000,Debit card,Often exist grow region amount assume.,0.0
61,2023-11-08,House Rent,6000,Cash,Monthly payment is paid,0.0
62,2023-11-08,Water bill,100,Cash,Charges for consumption of water services in a household,0.0
63,2023-11-23,Audible,299,Online,Somebody weight report.,54.93
64,2023-11-26,Transportation,1500,Online,Movement nation once everyone moment check.,0.0
65,2023-11-13,YouTube,300,Credit card,Site home personal news material.,0.0
66,2023-11-11,Transportation,1500,Online,Can someone far maintain.,0.0
67,2023-11-03,Gas,1000,Debit card,Expenses for fuel used in heating and cooking,0.0
68,2023-11-03,Investment,3000,Cash,Score after floor article two through.,0.0
69,2023-11-21,Spotify,350,Debit card,Subscription fees for music and podcasts from the service,0.0
70,2023-11-06,School fees,5000,Credit card,halfyearly exam fees paid,0.0
71,2023-11-18,Transportation,1500,Credit card,In and wear.,0.0
72,2023-11-17,Audible,299,Online,Too study knowledge within together war.,0.0
73,2023-11-23,Shopping,1000,Cash,Expenditures on clothing and personal items for everyday use,0.0
74,2023-11-27,Audible,299,Credit card,Artist large agreement those little.,0.0
75,2023-11-18,Electricity bill,700,Online,Monthly bill for electrical energy usage in home,0.0
76,2023-11-06,Travel,400,Credit card,Less various although official.,0.0
77,2023-11-08,Investment,3000,Debit card,Return land thousand.,0.0
78,2023-11-28,Electricity bill,700,Credit card,Monthly bill for electrical energy usage in home,0.0
79,2023-11-01,Spotify,350,Cash,Subscription fees for music and podcasts from the service,0.0
80,2023-11-23,YouTube,300,Online,Sense talk send themselves read.,0.0
81,2023-11-22,School fees,5000,Credit card,halfyearly exam fees paid,0.0
82,2023-11-03,Disney Hotstar,499,Cash,Knowledge person personal analysis a quickly.,0.0
83,2023-11-06,Disney Hotstar,499,Debit card,Drop land suddenly reduce drop.,0.0
84,2023-11-22,Investment,3000,Credit card,Campaign lawyer red recently.,0.0
85,2023-11-13,Gas,1000,Credit card,Expenses for fuel used in heating and cooking,0.0
86,2023-11-18,Netflix,300,Credit card,Subscription fees for movies and TV shows on the platform,0.0
87,2023-11-15,School fees,5000,Cash,halfyearly exam fees paid,0.0
88,2023-11-16,Audible,299,Cash,Recognize most tonight.,0.0
89,2023-11-16,wifi,600,Credit card,Costs associated with internet connectivity,0.0
90,2023-11-20,Netflix,300,Online,Subscription fees for movies and TV shows on the platform,52.26
91,2023-11-06,Travel,400,Debit card,Among that mind.,0.0
